"VersionEffective","PartNumber","PROPERTY","ValuePrior","ValueCurrent","ChangeReason"
"2.79","LP285391-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285392-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285393-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285394-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285395-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285396-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285397-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285398-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285399-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285400-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285401-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285402-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285403-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285404-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285405-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285406-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285407-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285408-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285409-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285410-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285411-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285412-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285413-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285414-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285415-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285416-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285418-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285419-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285420-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285421-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285422-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285423-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285425-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285426-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285427-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285428-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285429-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285430-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285431-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285432-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285433-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285434-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285435-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285437-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285438-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285439-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285440-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285441-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285442-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285443-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285444-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285445-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285446-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285447-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285448-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285449-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285450-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285451-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285452-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285453-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285454-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285455-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285456-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285457-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285459-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285460-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285461-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285462-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285463-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285465-3","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285466-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285467-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285468-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285469-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285471-1","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285472-9","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285473-7","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285474-5","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285475-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285476-0","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285477-8","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285478-6","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285479-4","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285480-2","STATUS","ACTIVE","INACTIVE",""
"2.79","LP285481-0","STATUS","ACTIVE","INACTIVE",""
